Session,Scanner,Serial,Software,Gender,Age,Handedness(writing),,,Key:,,
016_NA3_017,5,[00000858822HDMR1],[23\LX\MR,2,28,2,,,,,
016_NA3_020,5,[00000858822HDMR1],[23\LX\MR,,,2,,,,,
016_NA3_026,5,[00000858822HDMR1],[23\LX\MR,1,,,,,,,
016_NA3_027,5,[00000858822HDMR1],[23\LX\MR,,,,,,,,
016_NA3_030,5,[00000858822HDMR1],[23\LX\MR,1,28,,,,,,
016_NAA_004,5,[00000858822HDMR1],[21\LX\MR,1,41,2,,,,,
016_NAA_005,5,[00000858822HDMR1],[21\LX\MR,1,28,2,,,,,
016_NAA_006,5,[00000858822HDMR1],[21\LX\MR,2,24,2,,,,,
016_NAA_007,5,[00000858822HDMR1],[21\LX\MR,1,27,2,,,,,
016_NAA_009,5,[00000858822HDMR1],[21\LX\MR,1,22,,,,,,
016_NAA_010,5,[00000858822HDMR1],[23\LX\MR,2,24,2,,,,,
016_NAA_011,5,[00000858822HDMR1],[23\LX\MR,2,52,2,,,,,
016_NAA_013,5,[00000858822HDMR1],[23\LX\MR,1,,2,,,,,
016_NAA_014,5,[00000858822HDMR1],[23\LX\MR,1,46,2,,,,,
016_NAA_015,5,[00000858822HDMR1],[23\LX\MR,1,27,2,,,,,
001_GNX_029,6,[0000000919684MR5],[20\LX\MR,2,39,2,,Gender:,1=Male,2=Female,
001_GNX_030,6,[0000000919684MR5],[20\LX\MR,1,1,2,,Handedness:,1=left,2=right,3=either
001_GNX_031,6,[0000000919684MR5],[20\LX\MR,1,45,2,,,,,
001_GNX_035,6,[0000000919684MR5],[20\LX\MR,1,26,2,,,,,
015_MPG_002,6,[0000000919684MR5],[20\LX\MR,1,32,2,,,,,
015_NA3_001,6,[0000000919684MR5],[20\LX\MR,1,37,1,,,,,
015_NA3_002,6,[0000000919684MR5],[20\LX\MR,1,56,2,,,,,
015_NA3_005,6,[0000000919684MR5],[20\LX\MR,1,48,2,,,,,
015_NA3_006,6,[0000000919684MR5],[20\LX\MR,1,51,2,,,,,
015_NA3_009,6,[0000000919684MR5],[20\LX\MR,1,55,,,,,,
015_NA3_011,6,[0000000919684MR5],[20\LX\MR,1,25,2,,,,,
015_NA3_013,6,[0000000919684MR5],[20\LX\MR,1,54,2,,,,,
015_NA3_014,6,[0000000919684MR5],[20\LX\MR,1,34,1,,,,,
015_NA3_015,6,[0000000919684MR5],[20\LX\MR,1,52,2,,,,,
015_NA3_016,6,[0000000919684MR5],[20\LX\MR,1,37,2,,,,,
015_NA3_017,6,[0000000919684MR5],[20\LX\MR,1,31,1,,,,,
015_NA3_020,6,[0000000919684MR5],[20\LX\MR,1,32,1,,,,,
015_NA3_021,6,[0000000919684MR5],[20\LX\MR,2,29,2,,,,,
015_NA3_023,6,[0000000919684MR5],[20\LX\MR,2,24,2,,,,,
015_NA3_024,6,[0000000919684MR5],[20\LX\MR,2,25,,,,,,
015_NA3_025,6,[0000000919684MR5],[20\LX\MR,1,45,2,,,,,
015_NA3_026,6,[0000000919684MR5],[23\LX\MR,1,32,2,,,,,
015_NA3_028,6,[0000000919684MR5],[23\LX\MR,1,55,2,,,,,
015_NA3_029,6,[0000000919684MR5],[23\LX\MR,2,53,2,,,,,
015_NAA_001,6,[0000000919684MR5],[20\LX\MR,1,19,2,,,,,
015_NAA_002,6,[0000000919684MR5],[20\LX\MR,1,33,2,,,,,
015_NAA_003,6,[0000000919684MR5],[20\LX\MR,1,22,2,,,,,
015_NAA_006,6,[0000000919684MR5],[20\LX\MR,2,22,2,,,,,
015_NAA_008,6,[0000000919684MR5],[20\LX\MR,1,42,2,,,,,
015_NAA_010,6,[0000000919684MR5],[20\LX\MR,2,36,2,,,,,
015_NAA_011,6,[0000000919684MR5],[20\LX\MR,1,21,2,,,,,
015_NAA_012,6,[0000000919684MR5],[20\LX\MR,2,24,2,,,,,
015_NAA_013,6,[0000000919684MR5],[20\LX\MR,1,29,2,,,,,
015_NAA_014,6,[0000000919684MR5],[20\LX\MR,2,56,3,,,,,
015_NAA_015,6,[0000000919684MR5],[20\LX\MR,2,18,2,,,,,
015_NAA_017,6,[0000000919684MR5],[23\LX\MR,2,23,2,,,,,
015_NAA_019,6,[0000000919684MR5],[23\LX\MR,2,49,1,,,,,
015_NAA_020,6,[0000000919684MR5],[23\LX\MR,2,51,1,,,,,
015_NAA_021,6,[0000000919684MR5],[23\LX\MR,1,21,1,,,,,
015_NAA_022,6,[0000000919684MR5],[23\LX\MR,1,20,1,,,,,
015_NAA_023,6,[0000000919684MR5],[23\LX\MR,2,32,2,,,,,
015_NAA_024,6,[0000000919684MR5],[23\LX\MR,2,31,2,,,,,
015_NAA_026,6,[0000000919684MR5],[23\LX\MR,2,34,2,,,,,
015_NAA_027,6,[0000000919684MR5],[23\LX\MR,1,43,2,,,,,
015_NAA_028,6,[0000000919684MR5],[23\LX\MR,2,38,2,,,,,
015_NAA_029,6,[0000000919684MR5],[23\LX\MR,1,40,,,,,,
015_NAA_030,6,[0000000919684MR5],[23\LX\MR,2,33,2,,,,,
015_NAA_031,6,[0000000919684MR5],[23\LX\MR,2,48,2,,,,,
015_NAA_032,6,[0000000919684MR5],[23\LX\MR,1,49,2,,,,,
017_NA3_027,7,[24040],[3.2.3\3.2.3.0],1,22,2,,,,,
017_NA3_029,7,[24040],[3.2.3\3.2.3.0],2,19,,,,,,
017_NA3_030,7,[24040],[3.2.3\3.2.3.0],1,23,2,,,,,
